제주어 문장,문제 단어,보기1,보기2,보기3,표준어 풀이
촘앙 삽서,촘앙,참,촘촘하게,참으며,참으며 사십시오
호꼼만 촘앙 살람시라,호꼼만,호랑이,호걸,조금만,조금만 참고 살고 있어다오
소랑이나 호게 마씀,소랑,소라,고랑,사랑,사랑이나 합시다요
무싱 거옌 고릅디가?,고릅디가,골랐나요,선택하였나요,말하던가요,뭐라고 말하던가요?
나 모심 몰르쿠과?,모심,마음,못난 심보,말의 마음,제 마음 모르겠습니까?
잘 돌앙 살아 줍서,돌앙,돌아서,데리고,돌려서,잘 데리고 살아 주십시오
뚜러메당 데껴 불키여,뚜러메당,뚫어버려,들러메어,둘러싸여,들러메어 던져 버리겠어
날 도랑 가 줍서,도랑,데리고,밭고랑,돌아이,나를 데리고 가 주십시오
귀 눈이 왁왁해라,왁왁하다,아프다,캄캄하다,고통스럽다,눈앞이 캄캄하니 정신이 없더라
"느영, 나영",~영,~하고,혼령,정신,너하고 나하고
고랑은 몰라 마씀,고르다,말하다,밭고랑,고양이,말로 해서는 모릅니다
도르멍 옵서,도르멍,빨리,돌아서,천천히,빨리 오십시오
저리 고쩌 사불라,고쩌,비켜,고정하여,고장나서,저리로 비커 서라
어떵 호코 마씀,어떵,어떻게,오징어의 똥,물고기의 똥,어떻게 합니까
솔문 독새기 하나 줍서,독새기,독수리,달걀,독한 사람,삶은 달걀이나 하나 주십시오
들럭퀴지 말라,들럭퀴지,들어서 뛰지,안절부절 날뛰지,들어온 바퀴,안절부절 날뛰지 말아라
"아방, 어멍 혼디 감쩌",혼디,혼자,함께,홀로,"아버지, 어머니 함께 가네"
몬뜰락 벗응거 봅서,몬뜰락,뜰에서,모조리,못과 뜰,모조리 벗은 것 보시오
솔째기 골라,솔째기,살그머니,솔을 째서,솥을 째서,살그머니 말해라
호꼼 있당 와 줍서,호꼼,혼자,조금,꼼꼼히,조금 있다가 와 주십시오
허천 베레지 말라,허천,하천,내천,한눈,한눈 팔아서 가지 말아라
두렁청 호게 다울리지 말라,두렁청,구렁이,둘러서,정신없이,정신없이 급하게 재촉해서 일하지 마라
경 호곡 말곡,경 ,경찰,불경,그렇게,그렇고 말고
짐 촐리라,촐리다,차리다,찾다,꾸리다,짐 꾸려라
그거 앗아도라,앗아도라,가져다 줘라,빼앗아라,이 시려,그거 가져다 줘라
강 돌앙 옵서,강,그냥,가서,강하게,"가서, 데리고 오십시오"
속았수다,속았다,속았다,수고하다,속아 넘어가다,수고 했습니다
소도리 호지 맙서,소도리,소 도축,소도리 마을,소문,소문 옮기면서 다니지 마십시오
무상고 마씀,무상고,무역상업고,무상휴가,무엇 때문,무엇 때문인가요?
멩심허영 갔당 옵서,멩심허다,명심하다,조심하다,멩하다,조심해서 갔다 오십시오
조근게 요망지네,요망지다,똑똑하고 영리하다,요물스럽다,요상하다,작은 것이 똑똑하고 영리하네
으마떵 호리,으마떵,이런,말똥,어떻게,"이런, 어떻게 하나"
와리지 말앙 골라,와리다,후리다,왈가왈부하다,서두르다,"너무 서두르지 말고, 천천히 말해 보아라"
멘도롱 홀 때 호로록 들여 싸봅서,멘도롱허다,만들다,맨들맨들하다,따뜻하다,따듯할 때 후루룩 마셔 버리세요
조냥 정신,조냥,그냥,조금,절약,절약 정신
둥그리멍 키워서 혼다,둥그리멍,둥글며,고생시키며,돌아서,고생시키며 키워야 한다
무사 경 고람쑤꽈?,무사,검사,우산,왜,왜 그렇게 말하십니까?
왕 봅서,왕,임금,와서,황제,와서 보세요
혼저 옵서,혼저,혼자,홀로,어서,어서 오세요
따따한 감저(지슬) 왓수다,따따한,따가운,가려운,따뜻한,따뜻한 고구마(감자)가 왔어요
캠핑은 구젱기 구워먹는 맛이지,구젱기,구더기,쟁기,소라,캠핑은 소라 구워 먹는 맛이지
한라봉 탐스러운게 잘도 꿈난다이,꿈난다,꿈꾸다,일어나다,군침돌다,한라봉 탐스러운게 아주 군침 돌아
금착헹 놀레신가 기절해 불언!,금착헹,착하게,깜짝,금방,깜짝 놀랐는지 기절해 버렸어!
"삼춘, 궤깃국이 등삭하니 잘도 맛 좋아마씸",등삭하다,기름지고 풍성하다,등이 없어지다,등짝맞다,"삼촌, 고깃국이 기름지고 풍성해서 아주 맛이 좋아요"
"삼춘, 빙떡 매기여게!",메기여게,메기다,먹이다,떨어졌어요,"삼촌, 빙떡 다 떨여졌어요!"
오늘따라 마음이 물투룸한게,물투룸하다,물리다,물을 먹다,울적하다,오늘따라 마음이 울적해
한입 먹젠 헤신디 바레기 먹어 불언!,바레기,바라다,쓰레기,아주 많이,한입만 먹으려고 했는데 아주 많이 먹어 버렸어!
어떵하여. 새 옷인디 버물어 불언.,버물어 ,버려져,더려워져,찢어져,"어떡해, 새 옷인데 더러워졌어."
여름엔 개역만 한 게 엇주게!,개역,미역,목욕,미숫가루,여름엔 미숫가루만 한 게 없지!
송이한테 속안 가레만 세시간 돌련!,가레,카레,갈대,맷돌,송이한테 속아 맷돌만 세시간 돌렸어!
곡기난 숨도 못 쉬켸!,곡기난,굶어,곡기를 끊어,목에 걸려,목에 뭐가 걸려 숨도 못 쉬겠어!
무사 이 놈삔 영 안 나왐서?,놈삔,머리핀,핀셋,무,왜 이 무는 이렇게 안 나오지?
크림스파게티를 계속 먹으니 속이 닐크랑 하네!,날크랑하다,느끼하다,속이 안 좋다,크림을 넣다,크림스파게티를 계속 먹으니 속이 느끼 하네!
만세! 대죽부레기가 강냉이로 변신한다!,대죽부레기,옥수수,죽쓰레기,죽밥,만세! 옥수수가 강냉이로 변신한다!
물꾸럭 라면,물꾸럭,문어,물고기,해물,문어 라면
배 뽕그랑하난 조립다,뽕그랑하다,불르다,동그랗다,뽕나다,배가 불러서 졸립다.
실려운 거 하영 먹지 말라,하영,많이,하얗게,적게,차가운거 너무 많이 먹지 말라
심벡하여도 소용엇일 거 같은디…,심벡하다,담백하다,겨뤄보다,명백하다,겨뤄 봐도 소용없을 거 같은데…
내일은 오토미구이 먹을 수 이시크라!,오토미,오토바이,오징어,옥돔,내일은 옥돔구이 먹을 수 있겠다!
영희네 우영은 잘 가꿔신데!,우영,우영,텃밭,자식,영희네 텃밭은 잘 가꿨네!
느네가 경 갈크난 참말로 을큰하다.,을큰하다,얼큰하다,칼칼하다,섭섭하다,너네가 그렇게 말하나깐 정말 섭섭하다.
큰 성 적시만 무사 경 함수꽈?,적시만,혼자만,몫만,밥만,큰형 몫만 왜 그렇게 많아요?
